text
"2020년  목표: 프알못에서 프로젝트 마스터 되기 
관심 있는 강의 : 스프링 , React"
"2020년 목표: 스프링 열심히 공부하서 직장에서 사랑받고 싶어요!!
관심 있는 강의 : 스프링 웹 MVC"
"2020년 목표: C++ 열심히 공부해서, 학교에서 꼭 A 맞기..!! 
관심있는 강의: 따배씨 C++"
2020년 목표 : 리액트 공부하기
40대 프로그래밍 시작! : 우리를 위한 프로그래밍 : 파이썬 중급
2020년 목표 : 돌머리 비전공자가 멋진 전공자 되기!
2020 년목표: 비전공자(경영)가 전공자(it) 되기!!!
"2020년 목표 : 리액트 공부하기, 스프링 공부하기"
"2020년에는 아이티 마스터가 되기 관심강의 리액트
#관심강의 : React로 NodeBird SNS 만들기"
2020년에는 아이티 마스터가 되기 관심강의 리액트
"2020년 더욱 성장하는 올해가 되었으면 합니다 !! ㅎㅎㅎㅎ 
관심강의 : Open CV ,  DL(tensorflow, keras, etc. ), NLP"
"올해는 작년보다 더 성장하길
관심강의: 선형대수학개론"
2020년에는 대기업으로 이직하기!
2020년 목표 : 리액트 공부하기
윽 늦엇네욤 ㅋㅋ 2월부터 화이팅!
"2020년 크롤링, 시각화 열심히 하겠습니다!"
2020년에는 데이터를 좀 더 열심히 공부하려고 합니다.
2020년 목표 - 안주하지 않기
"자바 공부 마스터 하고 싶습니다.   더 자바, 코드를 조작하는 다양한 방법"
파이썬 데이터시각화 분석 실전 프로젝트 수강하고 싶어요
"2020년도 화이팅!, 스프링 프레임워크 개발자를 위한 실습을 통한 입문 과정"
"관심 있는 인프런 강의 : 스프링 웹 MVC
2020년 공부 목표 : 취업"
"머신러닝 제대로 배워보고 싶습니다.
#관심강의 : 파이썬 머신러닝 완벽가이드"
"QueryDSL 시리즈를 통해 회사 팀원 교육을 진행할 생각입니다.
#관심강의 : 자바 ORM 표준 JPA 프로그래밍"
"Next.js로 서버사이드 렌더링에 익숙해지고싶네요.  
#관심강의 : React로 NodeBird SNS 만들기"
스프링 제대로 배우고 싶습니다. 관심강의:스프링 시큐리티
"#관심강의: 프로그래밍 시작하기 : 파이썬 입문, 공공데이터로 파이썬 데이터 분석 시작하기
파이썬의 고수가 되고싶어요"
